rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
719,1688797122.74,06.18.41,-8.895845367,116.303099433,1.0,0.8,16.3,4845.0,4879.0,29.0,0.794,0.0983,,,,555.835,13250.0,-16.0,16039.0,0.885841,504_202307_08_0617_35_0000670,,,2,6.311872222222222
720,1688797122.84,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4845.0,4879.0,29.0,0.794,0.0,,,,555.835,13250.0,-22.0,16089.0,0.885841,504_202307_08_0617_35_0000671,,,2,6.3119
721,1688797122.94,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4846.0,4880.0,29.0,0.7941,0.0983,,,,555.835,13250.0,-22.0,16098.0,0.885941,504_202307_08_0617_35_0000672,,,2,6.311927777777778
722,1688797123.04,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4847.0,4881.0,29.0,0.7943,0.0983,,,,555.835,13250.0,-15.0,16102.0,0.886141,504_202307_08_0617_35_0000673,,,2,6.3119555555555555
723,1688797123.14,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4849.0,4883.0,29.0,0.7946,0.1967,,,,555.835,13250.0,-15.0,16085.0,0.886441,504_202307_08_0617_35_0000674,,,2,6.311983333333333
724,1688797123.24,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4849.0,4883.0,29.0,0.7946,0.0,,,,555.835,13251.0,-20.0,16077.0,0.886441,504_202307_08_0617_35_0000675,,,2,6.312011111111111
725,1688797123.34,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4851.0,4885.0,29.0,0.795,0.1966,,,,555.835,13251.0,-20.0,16077.0,0.886841,504_202307_08_0617_35_0000676,,,2,6.312038888888889
726,1688797123.44,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4851.0,4885.0,29.0,0.795,0.0,,,,555.835,13251.0,-20.0,16077.0,0.886841,504_202307_08_0617_35_0000677,,,2,6.3120666666666665
727,1688797123.55,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4852.0,4886.0,29.0,0.7951,0.0983,,,,555.835,13251.0,-20.0,16068.0,0.886941,504_202307_08_0617_35_0000678,,,2,6.312097222186667
728,1688797123.65,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4853.0,4887.0,29.0,0.7953,0.0983,,,,555.835,13253.0,-21.0,16068.0,0.887141,504_202307_08_0617_35_0000679,,,2,6.3121250000355555
729,1688797123.74,06.18.42,-8.89583375,116.303138817,1.0,0.8,16.0,4854.0,4888.0,29.0,0.7955,0.0983,,,,555.835,13253.0,-21.0,16073.0,0.887341,504_202307_08_0617_35_0000680,,,2,6.31215
730,1688797123.84,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4855.0,4889.0,29.0,0.7956,0.0983,,,,555.835,13250.0,-22.0,16064.0,0.887441,504_202307_08_0617_35_0000681,,,2,6.312177777777777
731,1688797123.94,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4855.0,4889.0,29.0,0.7956,0.0,,,,555.835,13250.0,-22.0,16068.0,0.887441,504_202307_08_0617_35_0000682,,,2,6.312205555555555
732,1688797124.05,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4857.0,4891.0,29.0,0.7959,0.1966,,,,555.835,13255.0,-20.0,16081.0,0.887741,504_202307_08_0617_35_0000683,,,2,6.312236111075555
733,1688797124.15,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4857.0,4891.0,29.0,0.7959,0.0,,,,555.835,13255.0,-20.0,16073.0,0.887741,504_202307_08_0617_35_0000684,,,2,6.312263888924444
734,1688797124.24,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4859.0,4893.0,29.0,0.7963,0.1967,,,,555.835,13254.0,-21.0,16081.0,0.888141,504_202307_08_0617_35_0000685,,,2,6.312288888888888
